Frequency,MOSFET current: Magnitude,MOSFET current: Phase,Diode current: Magnitude,Diode current: Phase
32000000.000,0.005,-1.086,0.013,2.044
32100000.000,0.006,-1.907,0.015,1.236
32200000.000,0.005,-2.731,0.012,0.426
32300000.000,0.002,2.638,0.006,-0.458
32400000.000,0.001,-0.446,0.002,2.591
32500000.000,0.004,-1.685,0.009,1.433
32600000.000,0.005,-2.529,0.014,0.606
32700000.000,0.005,2.936,0.014,-0.199
32800000.000,0.004,2.096,0.010,-1.023
32900000.000,0.001,0.944,0.003,-2.104
33000000.000,0.002,-2.213,0.005,0.879
33100000.000,0.005,3.139,0.011,-0.017
33200000.000,0.006,2.314,0.014,-0.829
33300000.000,0.005,1.493,0.012,-1.636
33400000.000,0.003,0.611,0.007,-2.493
33500000.000,0.001,-2.042,0.001,0.993
33600000.000,0.003,2.551,0.008,-0.620
33700000.000,0.005,1.693,0.013,-1.457
33800000.000,0.005,0.875,0.014,-2.263
33900000.000,0.004,0.042,0.010,-3.080
34000000.000,0.002,-0.970,0.004,2.240
34100000.000,0.002,2.078,0.004,-1.128
34200000.000,0.004,1.083,0.010,-2.077
34300000.000,0.005,0.252,0.013,-2.893
34400000.000,0.005,-0.567,0.013,2.585
34500000.000,0.003,-1.428,0.008,1.744
34600000.000,0.001,3.028,0.001,-0.029
34700000.000,0.003,0.510,0.007,-2.667
34800000.000,0.005,-0.368,0.012,2.763
34900000.000,0.005,-1.188,0.013,1.956
35000000.000,0.004,-2.014,0.011,1.144
35100000.000,0.002,-2.955,0.005,0.240
35200000.000,0.001,0.146,0.003,-3.084
35300000.000,0.004,-0.972,0.009,2.148
35400000.000,0.005,-1.810,0.013,1.326
35500000.000,0.005,-2.628,0.013,0.521
35600000.000,0.003,2.809,0.008,-0.307
35700000.000,0.001,1.514,0.002,-1.517
35800000.000,0.002,-1.519,0.006,1.579
35900000.000,0.004,-2.427,0.011,0.701
36000000.000,0.005,3.033,0.013,-0.108
36100000.000,0.004,2.211,0.011,-0.917
36200000.000,0.002,1.312,0.006,-1.787
36300000.000,0.001,-1.634,0.002,1.391
36400000.000,0.003,-3.022,0.008,0.094
36500000.000,0.005,2.411,0.012,-0.737
36600000.000,0.005,1.594,0.012,-1.542
36700000.000,0.004,0.757,0.009,-2.363
36800000.000,0.001,-0.320,0.003,2.903
36900000.000,0.002,2.754,0.004,-0.443
37000000.000,0.004,1.798,0.010,-1.359
37100000.000,0.005,0.971,0.013,-2.172
37200000.000,0.004,0.152,0.011,-2.979
37300000.000,0.003,-0.721,0.007,2.455
37400000.000,0.000,-3.028,0.001,0.076
37500000.000,0.003,1.216,0.007,-1.957
37600000.000,0.004,0.350,0.011,-2.800
37700000.000,0.005,-0.468,0.012,2.677
37800000.000,0.004,-1.298,0.010,1.862
37900000.000,0.002,-2.273,0.004,0.929
